title,company,location,posted_date,apply_url,source,category,application_status,notes,date_applied,scraped_at
Junior Software Engineer (Python/Django),Bdtask,"Khilkhet Thana, Dhaka, Bangladesh",2026-05-14,https://bd.linkedin.com/jobs/view/junior-software-engineer-python-django-at-bdtask-4414523994,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer,PalmPay,"Dhaka, Dhaka, Bangladesh",2026-05-10,https://bd.linkedin.com/jobs/view/software-engineer-at-palmpay-4412535703,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Software Engineer, Platform - Dhaka, Bangladesh",Speechify,"Dhaka, Dhaka, Bangladesh",2026-04-17,https://bd.linkedin.com/jobs/view/software-engineer-platform-dhaka-bangladesh-at-speechify-4413251782,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer,Field Nation,"Dhaka, Dhaka, Bangladesh",2026-05-01,https://bd.linkedin.com/jobs/view/software-engineer-at-field-nation-4315306304,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer,PLS,Bangladesh,2025-12-22,https://bd.linkedin.com/jobs/view/software-engineer-at-pls-4345696695,linkedin.com,software engineer,Not Applied,,,2026-05-19
Back End Software Engineer,AKIJ iBOS,"Dhaka, Bangladesh",2026-04-19,https://bd.linkedin.com/jobs/view/back-end-software-engineer-at-akij-ibos-4403870312,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Software Engineer, Platform - Chittagong, Bangladesh",Speechify,"Chattogram, Chattogram, Bangladesh",2026-04-05,https://bd.linkedin.com/jobs/view/software-engineer-platform-chittagong-bangladesh-at-speechify-4408590314,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Test Engineer,TECHNIX TECHNOLOGY,Bangladesh,2025-10-17,https://bd.linkedin.com/jobs/view/software-test-engineer-at-technix-technology-4316382787,linkedin.com,software engineer,Not Applied,,,2026-05-19
Senior Backend Software Engineer,Craftsmen,"Dhaka, Dhaka, Bangladesh",2026-04-01,https://bd.linkedin.com/jobs/view/senior-backend-software-engineer-at-craftsmen-4392893015,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Quality Assurance Engineer (SQA),Polygon Technology,"Dhaka, Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/software-quality-assurance-engineer-sqa-at-polygon-technology-4413403531,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (Frontend)- ACI Avionics & Airlines Services- For ACI Motors Limited - Job ID: 1486711,Bdjobs.com,"Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/software-engineer-frontend-aci-avionics-airlines-services-for-aci-motors-limited-job-id-1486711-at-bdjobs-com-4410138600,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Engineer (Backend)- ACI Avionics & Airlines Services- For ACI Motors Limited- Job ID: 1486736,Bdjobs.com,"Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/software-engineer-backend-aci-avionics-airlines-services-for-aci-motors-limited-job-id-1486736-at-bdjobs-com-4410130726,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Software Engineer, iOS Core Product - Dhaka, Bangladesh",Speechify,"Dhaka, Dhaka, Bangladesh",2026-03-31,https://bd.linkedin.com/jobs/view/software-engineer-ios-core-product-dhaka-bangladesh-at-speechify-4406884436,linkedin.com,software engineer,Not Applied,,,2026-05-19
"Software Engineer, Data Infrastructure & Acquisition - Chittagong, Bangladesh",Speechify,"Chattogram, Chattogram, Bangladesh",2026-04-16,https://bd.linkedin.com/jobs/view/software-engineer-data-infrastructure-acquisition-chittagong-bangladesh-at-speechify-4412614947,linkedin.com,software engineer,Not Applied,,,2026-05-19
